[2026-03-23T03:05:29.128Z] GET http://localhost:8080/js/data/aircraft.js → 200 (?ms, 1233B)
[2026-03-23T03:05:29.132Z] GET http://localhost:8080/js/engine/collision.js → 200 (1ms, 534B)
[2026-03-23T03:05:29.132Z] GET http://localhost:8080/js/entities/player.js → 200 (1ms, 5785B)
[2026-03-23T03:05:29.132Z] GET http://localhost:8080/js/entities/enemy-plane.js → 200 (3ms, 5591B)
[2026-03-23T03:05:29.132Z] GET http://localhost:8080/js/entities/enemy-ship.js → 200 (3ms, 3441B)
[2026-03-23T03:05:29.133Z] GET http://localhost:8080/js/entities/boss.js → 200 (7ms, 5787B)
[2026-03-23T03:05:29.133Z] GET http://localhost:8080/js/entities/projectile.js → 200 (?ms, 1851B)
[2026-03-23T03:05:29.133Z] GET http://localhost:8080/js/entities/explosion.js → 200 (?ms, 1286B)
[2026-03-23T03:05:29.133Z] GET http://localhost:8080/js/entities/powerup.js → 200 (1ms, 1792B)
[2026-03-23T03:05:29.133Z] GET http://localhost:8080/js/data/stages.js → 200 (3ms, 48126B)
[2026-03-23T03:05:29.133Z] GET http://localhost:8080/js/entities/entity.js → 200 (1ms, 718B)
[2026-03-23T03:05:29.134Z] GET http://localhost:8080/js/sprites/sprites.js → 200 (?ms, 2095B)
[2026-03-23T03:05:29.140Z] GET http://localhost:8080/js/entities/boss-turret.js → 200 (2ms, 5169B)
[2026-03-23T03:05:29.144Z] GET http://localhost:8080/assets/skyhawk.png → 200 (?ms, 85417B)
[2026-03-23T03:05:29.144Z] GET http://localhost:8080/assets/mirage.png → 200 (?ms, 83472B)
[2026-03-23T03:05:29.144Z] GET http://localhost:8080/assets/dagger.png → 200 (?ms, 89923B)
[2026-03-23T03:05:29.144Z] GET http://localhost:8080/assets/enemy_harrier.png → 200 (1ms, 123823B)
[2026-03-23T03:05:29.145Z] GET http://localhost:8080/assets/enemy_ship.png → 200 (?ms, 88284B)
[2026-03-23T03:05:29.145Z] GET http://localhost:8080/assets/enemy_destroyer.png → 200 (?ms, 2606B)
[2026-03-23T03:05:29.145Z] GET http://localhost:8080/assets/enemy_carrier.png → 200 (?ms, 4036B)
[2026-03-23T03:05:29.145Z] GET http://localhost:8080/assets/boss.png → 200 (?ms, 8319B)
[2026-03-23T03:05:29.145Z] GET http://localhost:8080/assets/missile.png → 200 (1ms, 365B)
[2026-03-23T03:05:29.146Z] GET http://localhost:8080/assets/bomb.png → 200 (?ms, 408B)
[2026-03-23T03:05:29.146Z] GET http://localhost:8080/assets/afterburner.png → 200 (?ms, 1356B)
[2026-03-23T03:05:29.146Z] GET http://localhost:8080/assets/title_art.png → 200 (?ms, 86777B)
[2026-03-23T03:05:29.146Z] GET http://localhost:8080/assets/explosion_0.png → 200 (?ms, 39122B)
[2026-03-23T03:05:29.146Z] GET http://localhost:8080/assets/explosion_1.png → 200 (?ms, 56452B)
[2026-03-23T03:05:29.146Z] GET http://localhost:8080/assets/explosion_2.png → 200 (?ms, 85541B)
[2026-03-23T03:05:29.146Z] GET http://localhost:8080/assets/explosion_3.png → 200 (?ms, 79810B)
[2026-03-23T03:05:29.147Z] GET http://localhost:8080/assets/explosion_4.png → 200 (?ms, 53873B)
[2026-03-23T03:05:29.147Z] GET http://localhost:8080/assets/music_title.mp3 → 200 (1ms, 3568896B)
[2026-03-23T03:05:29.147Z] GET http://localhost:8080/assets/music_stage.mp3 → 200 (1ms, 4175412B)
[2026-03-23T03:05:29.147Z] GET http://localhost:8080/assets/music_boss.mp3 → 200 (1ms, 739787B)
[2026-03-23T03:05:29.147Z] GET http://localhost:8080/assets/music_gameover.mp3 → 200 (1ms, 445544B)
[2026-03-23T03:05:29.147Z] GET http://localhost:8080/assets/music_victory.mp3 → 200 (1ms, 858488B)
[2026-03-23T03:15:16.934Z] GET http://localhost:8080/ → 200 (5ms, 1056B)
[2026-03-23T03:15:16.941Z] GET http://localhost:8080/style.css → 200 (4ms, 2837B)
[2026-03-23T03:15:16.942Z] GET http://localhost:8080/js/main.js → 200 (?ms, 2647B)
[2026-03-23T03:15:16.943Z] GET http://localhost:8080/js/engine/game-loop.js → 200 (?ms, 1049B)
[2026-03-23T03:15:16.943Z] GET http://localhost:8080/js/engine/input.js → 200 (14ms, 6733B)
[2026-03-23T03:15:16.943Z] GET http://localhost:8080/js/engine/renderer.js → 200 (2ms, 3664B)
[2026-03-23T03:15:16.943Z] GET http://localhost:8080/js/engine/audio.js → 200 (13ms, 5747B)
[2026-03-23T03:15:16.943Z] GET http://localhost:8080/js/engine/assets.js → 200 (24ms, 1724B)
[2026-03-23T03:15:16.943Z] GET http://localhost:8080/js/scenes/title-scene.js → 200 (20ms, 1547B)
[2026-03-23T03:15:16.943Z] GET http://localhost:8080/js/scenes/select-scene.js → 200 (3ms, 4841B)
[2026-03-23T03:15:16.943Z] GET http://localhost:8080/js/scenes/game-scene.js → 200 (21ms, 24581B)
[2026-03-23T03:15:16.943Z] GET http://localhost:8080/js/scenes/gameover-scene.js → 200 (3ms, 1857B)
[2026-03-23T03:15:16.946Z] GET http://localhost:8080/js/data/aircraft.js → 200 (?ms, 1233B)
[2026-03-23T03:15:16.965Z] GET http://localhost:8080/js/engine/collision.js → 200 (?ms, 534B)
[2026-03-23T03:15:16.965Z] GET http://localhost:8080/js/entities/player.js → 200 (4ms, 5785B)
[2026-03-23T03:15:16.965Z] GET http://localhost:8080/js/entities/enemy-plane.js → 200 (4ms, 5591B)
[2026-03-23T03:15:16.965Z] GET http://localhost:8080/js/entities/enemy-ship.js → 200 (4ms, 3441B)
[2026-03-23T03:15:16.965Z] GET http://localhost:8080/js/entities/boss.js → 200 (5ms, 5787B)
[2026-03-23T03:15:16.965Z] GET http://localhost:8080/js/entities/projectile.js → 200 (1ms, 1851B)
[2026-03-23T03:15:16.965Z] GET http://localhost:8080/js/entities/explosion.js → 200 (1ms, 1286B)
[2026-03-23T03:15:16.965Z] GET http://localhost:8080/js/entities/powerup.js → 200 (1ms, 1792B)
[2026-03-23T03:15:16.965Z] GET http://localhost:8080/js/data/stages.js → 200 (5ms, 48126B)
[2026-03-23T03:15:16.966Z] GET http://localhost:8080/js/entities/entity.js → 200 (?ms, 718B)
[2026-03-23T03:15:16.966Z] GET http://localhost:8080/js/sprites/sprites.js → 200 (1ms, 2095B)
[2026-03-23T03:15:16.970Z] GET http://localhost:8080/js/entities/boss-turret.js → 200 (1ms, 5169B)
[2026-03-23T03:15:16.972Z] GET http://localhost:8080/assets/skyhawk.png → 200 (?ms, 85417B)
[2026-03-23T03:15:16.972Z] GET http://localhost:8080/assets/mirage.png → 200 (?ms, 83472B)
[2026-03-23T03:15:16.972Z] GET http://localhost:8080/assets/dagger.png → 200 (?ms, 89923B)
[2026-03-23T03:15:16.973Z] GET http://localhost:8080/assets/enemy_harrier.png → 200 (?ms, 123823B)
[2026-03-23T03:15:16.973Z] GET http://localhost:8080/assets/enemy_ship.png → 200 (?ms, 88284B)
[2026-03-23T03:15:16.973Z] GET http://localhost:8080/assets/enemy_destroyer.png → 200 (?ms, 2606B)
[2026-03-23T03:15:16.973Z] GET http://localhost:8080/assets/enemy_carrier.png → 200 (?ms, 4036B)
[2026-03-23T03:15:16.973Z] GET http://localhost:8080/assets/boss.png → 200 (?ms, 8319B)
[2026-03-23T03:15:16.973Z] GET http://localhost:8080/assets/missile.png → 200 (?ms, 365B)
[2026-03-23T03:15:16.973Z] GET http://localhost:8080/assets/bomb.png → 200 (1ms, 408B)
[2026-03-23T03:15:16.974Z] GET http://localhost:8080/assets/afterburner.png → 304 (3ms, ?B)
[2026-03-23T03:15:16.974Z] GET http://localhost:8080/assets/title_art.png → 304 (4ms, ?B)
[2026-03-23T03:15:16.974Z] GET http://localhost:8080/assets/explosion_0.png → 200 (?ms, 39122B)
[2026-03-23T03:15:16.974Z] GET http://localhost:8080/assets/explosion_1.png → 200 (?ms, 56452B)
[2026-03-23T03:15:16.974Z] GET http://localhost:8080/assets/explosion_2.png → 200 (?ms, 85541B)
[2026-03-23T03:15:16.974Z] GET http://localhost:8080/assets/explosion_3.png → 200 (1ms, 79810B)
[2026-03-23T03:15:16.975Z] GET http://localhost:8080/assets/explosion_4.png → 200 (?ms, 53873B)
[2026-03-23T03:15:16.975Z] GET http://localhost:8080/assets/music_title.mp3 → 200 (5ms, 3568896B)
[2026-03-23T03:15:16.975Z] GET http://localhost:8080/assets/music_stage.mp3 → 200 (3ms, 4175412B)
[2026-03-23T03:15:16.976Z] GET http://localhost:8080/assets/music_boss.mp3 → 200 (4ms, 739787B)
[2026-03-23T03:15:16.976Z] GET http://localhost:8080/assets/music_gameover.mp3 → 200 (4ms, 445544B)
[2026-03-23T03:15:16.976Z] GET http://localhost:8080/assets/music_victory.mp3 → 200 (4ms, 858488B)
[2026-03-23T03:15:16.976Z] GET http://localhost:8080/assets/boss_frigate.png → 200 (6ms, 2697B)
[2026-03-23T03:15:16.976Z] GET http://localhost:8080/assets/boss_destroyer.png → 200 (6ms, 3079B)
[2026-03-23T03:15:16.976Z] GET http://localhost:8080/assets/boss_carrier.png → 200 (6ms, 3668B)
[2026-03-23T03:22:58.852Z] GET http://localhost:8080/ → 200 (1ms, 1056B)
[2026-03-23T03:22:58.855Z] GET http://localhost:8080/style.css → 200 (?ms, 2837B)
[2026-03-23T03:22:58.855Z] GET http://localhost:8080/js/main.js → 200 (1ms, 2647B)
[2026-03-23T03:22:58.856Z] GET http://localhost:8080/js/engine/game-loop.js → 200 (?ms, 1049B)
[2026-03-23T03:22:58.856Z] GET http://localhost:8080/js/engine/input.js → 200 (1ms, 6733B)
[2026-03-23T03:22:58.856Z] GET http://localhost:8080/js/engine/renderer.js → 200 (1ms, 3664B)
[2026-03-23T03:22:58.856Z] GET http://localhost:8080/js/engine/audio.js → 200 (2ms, 5747B)
[2026-03-23T03:22:58.856Z] GET http://localhost:8080/js/engine/assets.js → 200 (3ms, 1724B)
[2026-03-23T03:22:58.856Z] GET http://localhost:8080/js/scenes/title-scene.js → 200 (2ms, 1547B)
[2026-03-23T03:22:58.856Z] GET http://localhost:8080/js/scenes/select-scene.js → 200 (2ms, 4841B)
[2026-03-23T03:22:58.856Z] GET http://localhost:8080/js/scenes/game-scene.js → 200 (3ms, 24581B)
[2026-03-23T03:22:58.856Z] GET http://localhost:8080/js/scenes/gameover-scene.js → 200 (2ms, 1857B)
[2026-03-23T03:22:58.858Z] GET http://localhost:8080/js/data/aircraft.js → 200 (?ms, 1233B)
[2026-03-23T03:22:58.859Z] GET http://localhost:8080/js/engine/collision.js → 200 (1ms, 534B)
[2026-03-23T03:22:58.859Z] GET http://localhost:8080/js/entities/player.js → 200 (2ms, 5785B)
[2026-03-23T03:22:58.859Z] GET http://localhost:8080/js/entities/enemy-plane.js → 200 (4ms, 5591B)
[2026-03-23T03:22:58.859Z] GET http://localhost:8080/js/entities/enemy-ship.js → 200 (4ms, 3441B)
[2026-03-23T03:22:58.859Z] GET http://localhost:8080/js/entities/boss.js → 200 (8ms, 5787B)
[2026-03-23T03:22:58.859Z] GET http://localhost:8080/js/entities/projectile.js → 200 (4ms, 1851B)
[2026-03-23T03:22:58.859Z] GET http://localhost:8080/js/entities/explosion.js → 200 (2ms, 1286B)
[2026-03-23T03:22:58.859Z] GET http://localhost:8080/js/entities/powerup.js → 200 (2ms, 1792B)
[2026-03-23T03:22:58.860Z] GET http://localhost:8080/js/data/stages.js → 200 (3ms, 48126B)
[2026-03-23T03:22:58.861Z] GET http://localhost:8080/js/entities/entity.js → 200 (?ms, 718B)
[2026-03-23T03:22:58.861Z] GET http://localhost:8080/js/sprites/sprites.js → 200 (?ms, 2095B)
[2026-03-23T03:22:58.868Z] GET http://localhost:8080/js/entities/boss-turret.js → 200 (?ms, 5169B)
[2026-03-23T03:22:58.870Z] GET http://localhost:8080/assets/skyhawk.png → 200 (?ms, 85417B)
[2026-03-23T03:22:58.871Z] GET http://localhost:8080/assets/mirage.png → 200 (?ms, 83472B)
[2026-03-23T03:22:58.871Z] GET http://localhost:8080/assets/dagger.png → 200 (5ms, 89923B)
[2026-03-23T03:22:58.876Z] GET http://localhost:8080/assets/enemy_harrier.png → 200 (?ms, 123823B)
[2026-03-23T03:22:58.876Z] GET http://localhost:8080/assets/enemy_ship.png → 200 (?ms, 88284B)
[2026-03-23T03:22:58.877Z] GET http://localhost:8080/assets/enemy_destroyer.png → 304 (3ms, ?B)
[2026-03-23T03:22:58.877Z] GET http://localhost:8080/assets/enemy_carrier.png → 304 (3ms, ?B)
[2026-03-23T03:22:58.877Z] GET http://localhost:8080/assets/boss.png → 304 (4ms, ?B)
[2026-03-23T03:22:58.877Z] GET http://localhost:8080/assets/boss_frigate.png → 200 (3ms, 88284B)
[2026-03-23T03:22:58.877Z] GET http://localhost:8080/assets/boss_destroyer.png → 200 (3ms, 4978B)
[2026-03-23T03:22:58.877Z] GET http://localhost:8080/assets/boss_carrier.png → 200 (4ms, 7479B)
[2026-03-23T03:22:58.877Z] GET http://localhost:8080/assets/missile.png → 304 (4ms, ?B)
[2026-03-23T03:22:58.877Z] GET http://localhost:8080/assets/bomb.png → 304 (4ms, ?B)
[2026-03-23T03:22:58.877Z] GET http://localhost:8080/assets/afterburner.png → 200 (?ms, 1356B)
[2026-03-23T03:22:58.878Z] GET http://localhost:8080/assets/title_art.png → 200 (?ms, 86777B)
[2026-03-23T03:22:58.878Z] GET http://localhost:8080/assets/explosion_0.png → 200 (?ms, 39122B)
[2026-03-23T03:22:58.878Z] GET http://localhost:8080/assets/explosion_1.png → 200 (?ms, 56452B)
[2026-03-23T03:22:58.878Z] GET http://localhost:8080/assets/explosion_2.png → 200 (?ms, 85541B)
[2026-03-23T03:22:58.878Z] GET http://localhost:8080/assets/explosion_3.png → 200 (?ms, 79810B)
[2026-03-23T03:22:58.879Z] GET http://localhost:8080/assets/explosion_4.png → 200 (?ms, 53873B)
[2026-03-23T03:22:58.879Z] GET http://localhost:8080/assets/music_title.mp3 → 200 (1ms, 3568896B)
[2026-03-23T03:22:58.879Z] GET http://localhost:8080/assets/music_stage.mp3 → 200 (1ms, 4175412B)
[2026-03-23T03:22:58.879Z] GET http://localhost:8080/assets/music_boss.mp3 → 200 (1ms, 739787B)
[2026-03-23T03:22:58.879Z] GET http://localhost:8080/assets/music_gameover.mp3 → 200 (1ms, 445544B)
[2026-03-23T03:22:58.879Z] GET http://localhost:8080/assets/music_victory.mp3 → 200 (1ms, 858488B)
[2026-03-23T03:35:02.640Z] GET http://localhost:8080/ → 200 (2ms, 1056B)
[2026-03-23T03:35:02.645Z] GET http://localhost:8080/style.css → 200 (2ms, 2837B)
[2026-03-23T03:35:02.645Z] GET http://localhost:8080/js/main.js → 200 (1ms, 2647B)
[2026-03-23T03:35:02.646Z] GET http://localhost:8080/js/engine/game-loop.js → 200 (2ms, 1049B)
[2026-03-23T03:35:02.646Z] GET http://localhost:8080/js/engine/input.js → 200 (2ms, 6733B)
[2026-03-23T03:35:02.646Z] GET http://localhost:8080/js/engine/renderer.js → 200 (3ms, 3664B)
[2026-03-23T03:35:02.646Z] GET http://localhost:8080/js/engine/audio.js → 200 (2ms, 5747B)
[2026-03-23T03:35:02.646Z] GET http://localhost:8080/js/engine/assets.js → 200 (11ms, 1729B)
[2026-03-23T03:35:02.647Z] GET http://localhost:8080/js/scenes/title-scene.js → 200 (4ms, 1547B)
[2026-03-23T03:35:02.647Z] GET http://localhost:8080/js/scenes/select-scene.js → 200 (4ms, 4841B)
[2026-03-23T03:35:02.647Z] GET http://localhost:8080/js/scenes/game-scene.js → 200 (9ms, 24581B)
